Date,Currency,Account Number,CR Amount,DB Amount,Ref Num
2008/11/23,USD,abc123,"$1,000.00 ",$0.00 ,def123
8/15/23,USD,abc123,"$2,000.00 ",$0.00 ,def124
8/15/23,USD,abc123,$0.00 ,$10.00 ,def125
8/15/23,USD,abc123,$0.00 ,$500.00 ,def126
8/16/23,USD,abc123,"$100,000.00 ",$0.00 ,def127
8/17/23,USD,abc123,"$1,342,792.00 ",$0.00 ,def128
8/17/23,USD,abc123,"$662,017.00 ",$0.00 ,def129
8/17/23,USD,abc123,$0.00 ,"$42,065.97 ",def130
8/17/23,USD,abc123,$0.00 ,"$461,794.75 ",def131
8/18/23,USDD,abc123,$0.00 ,"$380,000.00 ",def132
8/18/23,USD,abc123,$0.00 ,"$49,750.00 ",def133
8/18/23,USD,abc123,$0.00 ,"$429,513.66 ",def134
8/18/23,USD,abc123,$0.00 ,"$500,000.00 ",def135
8/21/23,USD,abc123,"$1,524,332.00 ",$0.00 ,def136
8/21/23,USD,abc123,"$799,304.00 ",$0.00 ,def137
8/21/23,USD,abc123,$0.00 ,$10.00 ,def138
8/21/23,USD,abc123,$0.00 ,"$650,000.00 ",def139
8/21/23,USD,abc123,$0.00 ,"$997,100.00 ",def140
8/21/23,USD,abc123,$0.00 ,"$98,104.80 ",def141
8/21/23,USD,abc123,$0.00 ,"$798,260.54 ",def142
8/22/23,USD,abc123,"$767,827.00 ",$0.00 ,def143
8/22/23,USD,abc123,"$250,376.00 ",$0.00 ,def144
8/22/23,USD,abc123,"$60,974.00 ",$0.00 ,def145
8/22/23,USD,abc123,"$31,987.00 ",$0.00 ,def146
8/22/23,USD,abc123,"$500,000.00 ",$0.00 ,def147
8/22/23,USD,abc123,$0.00 ,"$499,000.00 ",def148
8/22/23,USD,abc123,$0.00 ,"$53,945.92 ",def149
8/22/23,USD,abc123,$0.00 ,"$99,500.00 ",def150
8/22/23,USD,abc123,$0.00 ,"$250,049.10 ",def151
8/22/23,USD,abc123,$0.00 ,"$299,250.00 ",def152
8/22/23,USD,abc123,$0.00 ,"$328,079.79 ",def153
8/23/23,USD,abc123,"$4,796,160.00 ",$0.00 ,def154
8/23/23,USD,abc123,"$100,000.00 ",$0.00 ,def155
8/23/23,USD,abc123,"$100,000.00 ",$0.00 ,def156
8/23/23,USD,abc123,"$490,000.00 ",$0.00 ,def157
8/23/23,USD,abc123,$0.00 ,"$199,000.05 ",def158
8/23/23,USD,abc123,$0.00 ,"$99,496.23 ",def159
8/23/23,USD,abc123,$0.00 ,"$229,794.94 ",def160
8/23/23,USD,abc123,$0.00 ,"$249,246.22 ",def161
8/23/23,USD,abc123,$0.00 ,"$532,000.00 ",def162
8/23/23,USD,abc123,$0.00 ,"$848,300.00 ",def163
8/23/23,USD,abc123,$0.00 ,"$948,100.00 ",def164
8/23/23,USD,abc123,$0.00 ,"$1,995,984.03 ",def165
8/24/23,USD,abc123,"$2,596,733.00 ",$0.00 ,def166
8/24/23,USD,abc123,"$999,581.00 ",$0.00 ,def167
8/24/23,USD,abc123,"$250,000.00 ",$0.00 ,def168
8/24/23,USD,abc123,"$250,000.00 ",$0.00 ,def169
8/24/23,USD,abc123,$0.00 ,"$99,500.00 ",def170
8/24/23,USD,abc123,$0.00 ,"$72,631.23 ",def171
8/24/23,USD,abc123,$0.00 ,"$310,048.06 ",def172
8/24/23,USD,abc123,$0.00 ,"$400,078.56 ",def173
8/24/23,USD,abc123,$0.00 ,"$998,000.00 ",def174
8/24/23,USD,abc123,$0.00 ,"$1,995,999.00 ",def175
8/25/23,USD,abc123,"$1,770,827.00 ",$0.00 ,def176
8/25/23,USD,abc123,"$250,000.00 ",$0.00 ,def177
8/25/23,USD,abc123,$0.00 ,"$498,750.00 ",def178
