datetime,currency,amount,type
2008-11-23T00:00:00Z,USD,1000.0,TRANSFER IN
2023-08-15T00:00:00Z,USD,2000.0,TRANSFER IN
2023-08-15T00:00:00Z,USD,10.0,TRANSFER OUT
2023-08-15T00:00:00Z,USD,500.0,TRANSFER OUT
2023-08-16T00:00:00Z,USD,100000.0,TRANSFER IN
2023-08-17T00:00:00Z,USD,1342792.0,TRANSFER IN
2023-08-17T00:00:00Z,USD,662017.0,TRANSFER IN
2023-08-17T00:00:00Z,USD,42065.97,TRANSFER OUT
2023-08-17T00:00:00Z,USD,461794.75,TRANSFER OUT
2023-08-18T00:00:00Z,USDD,380000.0,TRANSFER OUT
2023-08-18T00:00:00Z,USD,49750.0,TRANSFER OUT
2023-08-18T00:00:00Z,USD,429513.66,TRANSFER OUT
2023-08-18T00:00:00Z,USD,500000.0,TRANSFER OUT
2023-08-21T00:00:00Z,USD,1524332.0,TRANSFER IN
2023-08-21T00:00:00Z,USD,799304.0,TRANSFER IN
2023-08-21T00:00:00Z,USD,10.0,TRANSFER OUT
2023-08-21T00:00:00Z,USD,650000.0,TRANSFER OUT
2023-08-21T00:00:00Z,USD,997100.0,TRANSFER OUT
2023-08-21T00:00:00Z,USD,98104.8,TRANSFER OUT
2023-08-21T00:00:00Z,USD,798260.54,TRANSFER OUT
2023-08-22T00:00:00Z,USD,767827.0,TRANSFER IN
2023-08-22T00:00:00Z,USD,250376.0,TRANSFER IN
2023-08-22T00:00:00Z,USD,60974.0,TRANSFER IN
2023-08-22T00:00:00Z,USD,31987.0,TRANSFER IN
2023-08-22T00:00:00Z,USD,500000.0,TRANSFER IN
2023-08-22T00:00:00Z,USD,499000.0,TRANSFER OUT
2023-08-22T00:00:00Z,USD,53945.92,TRANSFER OUT
2023-08-22T00:00:00Z,USD,99500.0,TRANSFER OUT
2023-08-22T00:00:00Z,USD,250049.1,TRANSFER OUT
2023-08-22T00:00:00Z,USD,299250.0,TRANSFER OUT
2023-08-22T00:00:00Z,USD,328079.79,TRANSFER OUT
2023-08-23T00:00:00Z,USD,4796160.0,TRANSFER IN
2023-08-23T00:00:00Z,USD,100000.0,TRANSFER IN
2023-08-23T00:00:00Z,USD,100000.0,TRANSFER IN
2023-08-23T00:00:00Z,USD,490000.0,TRANSFER IN
2023-08-23T00:00:00Z,USD,199000.05,TRANSFER OUT
2023-08-23T00:00:00Z,USD,99496.23,TRANSFER OUT
2023-08-23T00:00:00Z,USD,229794.94,TRANSFER OUT
2023-08-23T00:00:00Z,USD,249246.22,TRANSFER OUT
2023-08-23T00:00:00Z,USD,532000.0,TRANSFER OUT
2023-08-23T00:00:00Z,USD,848300.0,TRANSFER OUT
2023-08-23T00:00:00Z,USD,948100.0,TRANSFER OUT
2023-08-23T00:00:00Z,USD,1995984.03,TRANSFER OUT
2023-08-24T00:00:00Z,USD,2596733.0,TRANSFER IN
2023-08-24T00:00:00Z,USD,999581.0,TRANSFER IN
2023-08-24T00:00:00Z,USD,250000.0,TRANSFER IN
2023-08-24T00:00:00Z,USD,250000.0,TRANSFER IN
2023-08-24T00:00:00Z,USD,99500.0,TRANSFER OUT
2023-08-24T00:00:00Z,USD,72631.23,TRANSFER OUT
2023-08-24T00:00:00Z,USD,310048.06,TRANSFER OUT
2023-08-24T00:00:00Z,USD,400078.56,TRANSFER OUT
2023-08-24T00:00:00Z,USD,998000.0,TRANSFER OUT
2023-08-24T00:00:00Z,USD,1995999.0,TRANSFER OUT
2023-08-25T00:00:00Z,USD,1770827.0,TRANSFER IN
2023-08-25T00:00:00Z,USD,250000.0,TRANSFER IN
2023-08-25T00:00:00Z,USD,498750.0,TRANSFER OUT
2023-08-25T00:00:00Z,USD,20000.24,TRANSFER OUT
2023-08-25T00:00:00Z,USD,99500.0,TRANSFER OUT
2023-08-25T00:00:00Z,USD,209365.02,TRANSFER OUT
2023-08-25T00:00:00Z,USD,223277.19,TRANSFER OUT
2023-08-25T00:00:00Z,USD,664000.01,TRANSFER OUT
2023-08-28T00:00:00Z,USD,3165056.0,TRANSFER IN
2023-08-28T00:00:00Z,USD,2524987.0,TRANSFER IN
2023-08-28T00:00:00Z,USD,40750.0,TRANSFER IN
2023-08-28T00:00:00Z,USD,210000.0,TRANSFER IN
2023-08-28T00:00:00Z,USD,100495.0,TRANSFER OUT
2023-08-28T00:00:00Z,USD,100495.0,TRANSFER OUT
2023-08-28T00:00:00Z,USD,100495.0,TRANSFER OUT
2023-08-28T00:00:00Z,USD,100495.0,TRANSFER OUT
2023-08-28T00:00:00Z,USD,898290.0,TRANSFER OUT
2023-08-28T00:00:00Z,USD,9900.0,TRANSFER OUT
2023-08-28T00:00:00Z,USD,209365.02,TRANSFER OUT
2023-08-28T00:00:00Z,USD,249250.0,TRANSFER OUT
2023-08-28T00:00:00Z,USD,320915.88,TRANSFER OUT
2023-08-28T00:00:00Z,USD,330627.02,TRANSFER OUT
2023-08-28T00:00:00Z,USD,400078.55,TRANSFER OUT
2023-08-28T00:00:00Z,USD,661000.0,TRANSFER OUT
2023-08-28T00:00:00Z,USD,996995.02,TRANSFER OUT
2023-08-28T00:00:00Z,USD,1961470.2,TRANSFER OUT
2023-08-29T00:00:00Z,USD,3877755.0,TRANSFER IN
2023-08-29T00:00:00Z,USD,274000.0,TRANSFER OUT
2023-08-29T00:00:00Z,USD,299125.01,TRANSFER OUT
2023-08-29T00:00:00Z,USD,331385.19,TRANSFER OUT
2023-08-29T00:00:00Z,USD,998000.0,TRANSFER OUT
2023-08-29T00:00:00Z,USD,1968754.6,TRANSFER OUT
2023-08-30T00:00:00Z,USD,1999485.0,TRANSFER IN
2023-08-30T00:00:00Z,USD,2788884.0,TRANSFER IN
2023-08-30T00:00:00Z,USD,50089.0,TRANSFER IN
2023-08-30T00:00:00Z,USD,250000.0,TRANSFER IN
2023-08-30T00:00:00Z,USD,100495.0,TRANSFER OUT
2023-08-30T00:00:00Z,USD,137500.0,TRANSFER OUT
2023-08-30T00:00:00Z,USD,148182.17,TRANSFER OUT
2023-08-30T00:00:00Z,USD,335781.03,TRANSFER OUT
2023-08-30T00:00:00Z,USD,763455.0,TRANSFER OUT
2023-08-30T00:00:00Z,USD,998000.0,TRANSFER OUT
2023-08-30T00:00:00Z,USD,1005446.0,TRANSFER OUT
2023-08-30T00:00:00Z,USD,1225684.0,TRANSFER OUT
2023-08-31T00:00:00Z,USD,1999600.0,TRANSFER IN
2023-08-31T00:00:00Z,USD,200000.0,TRANSFER IN
2023-08-31T00:00:00Z,USD,150000.0,TRANSFER OUT
2023-08-31T00:00:00Z,USD,79760.0,TRANSFER OUT
2023-08-31T00:00:00Z,USD,100495.0,TRANSFER OUT
2023-08-31T00:00:00Z,USD,99500.0,TRANSFER OUT
2023-08-31T00:00:00Z,USD,99700.0,TRANSFER OUT
2023-08-31T00:00:00Z,USD,199395.96,TRANSFER OUT
2023-08-31T00:00:00Z,USD,235664.74,TRANSFER OUT
2023-08-31T00:00:00Z,USD,660000.0,TRANSFER OUT
2009-01-23T00:00:00Z,USD,4874812.0,TRANSFER IN
2009-01-23T00:00:00Z,USD,500000.0,TRANSFER OUT
2009-01-23T00:00:00Z,USD,10000.0,TRANSFER OUT
2009-01-23T00:00:00Z,USD,90000.0,TRANSFER OUT
2009-01-23T00:00:00Z,USD,30018.8,TRANSFER OUT
2009-01-23T00:00:00Z,USD,404472.38,TRANSFER OUT
2009-01-23T00:00:00Z,USD,99700.0,TRANSFER OUT
2009-01-23T00:00:00Z,USD,253960.75,TRANSFER OUT
2009-01-23T00:00:00Z,USD,309097.8,TRANSFER OUT
2009-01-23T00:00:00Z,USD,928000.0,TRANSFER OUT
2009-01-23T00:00:00Z,USD,1426268.0,TRANSFER OUT
2009-01-23T00:00:00Z,USD,1789563.0,TRANSFER OUT
2009-05-23T00:00:00Z,USD,1798605.0,TRANSFER IN
2009-05-23T00:00:00Z,USD,99918.0,TRANSFER IN
2009-05-23T00:00:00Z,USD,78255.0,TRANSFER IN
